,model_name,global_epoch,models_percentage,MIN_NUM_WORKERS,local_epoch,batch_size,learning_rate,best_epoch,best_f1,best_acc,best_prec,best_recall,best_loss,best_f1_test,best_acc_test,best_recall_test,best_precision_test,best_round_test,total_duration,dataframe_path,model_path
226,RexNet,10.0,0.5,8.0,2.0,32.0,1e-05,9.0,0.407791206901114,0.6086956521739131,0.4642857142857142,0.3832070707070707,0.6577778235077858,0.4946236559139785,0.5648148148148148,0.6388888888888888,0.4035087719298245,8.0,6191.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011808_federated_metrics.csv,
227,RexNet,10.0,0.5,8.0,2.0,16.0,1e-06,0.0,0.3274247198879552,0.4728260869565217,0.4575892857142857,0.2580853174603175,0.8097098677054696,0.6883116883116883,0.5555555555555556,0.5463917525773195,0.9298245614035088,0.0,2874.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011831_federated_metrics.csv,
228,RexNet,10.0,0.5,8.0,2.0,32.0,1e-06,6.0,0.4991928350287483,0.5923913043478259,0.6703869047619048,0.4076506826506826,0.7204683795571327,0.5671641791044776,0.4629629629629629,0.4935064935064935,0.6666666666666666,0.0,3295.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011854_federated_metrics.csv,
229,RexNet,10.0,1.0,8.0,2.0,16.0,1e-05,9.0,0.5242960460162472,0.673913043478261,0.6175595238095237,0.4701118326118326,0.6084245270037133,0.3953488372093023,0.5185185185185185,0.5862068965517241,0.2982456140350877,0.0,8977.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08011944_federated_metrics.csv,
230,ResNext50,10.0,0.5,8.0,1.0,32.0,1e-05,8.0,0.9450549450549453,0.967391304347826,0.9151785714285714,0.9821428571428572,0.13976342510432,0.3373493975903614,0.4907407407407407,0.5384615384615384,0.2456140350877192,9.0,25824.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08012004_federated_metrics.csv,
231,RexNet,10.0,1.0,8.0,2.0,32.0,1e-05,8.0,0.4134615384615384,0.6032608695652174,0.4568452380952381,0.3933531746031746,0.6861346736550331,0.4521739130434782,0.4166666666666667,0.4482758620689655,0.4561403508771929,5.0,8992.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08012035_federated_metrics.csv,
232,RexNet,10.0,1.0,8.0,2.0,16.0,1e-06,5.0,0.386054625199362,0.4945652173913043,0.5386904761904763,0.3056623931623932,0.7909692781774894,0.4482758620689655,0.4074074074074074,0.4406779661016949,0.4561403508771929,0.0,6122.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08012115_federated_metrics.csv,
233,RexNet,10.0,1.0,8.0,2.0,32.0,1e-06,0.0,0.3343399859943977,0.5108695652173914,0.4107142857142857,0.2852297008547008,0.7991033419966698,0.6446280991735537,0.6018518518518519,0.609375,0.6842105263157895,0.0,3571.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08012144_federated_metrics.csv,
234,RexNet,15.0,0.5,8.0,1.0,16.0,1e-05,14.0,0.4699647166558931,0.6630434782608696,0.4992559523809524,0.4456845238095238,0.6236803031162075,0.3908045977011494,0.5092592592592593,0.5666666666666667,0.2982456140350877,0.0,10458.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08012225_federated_metrics.csv,
235,ResNext50,10.0,0.5,8.0,1.0,16.0,1e-06,9.0,0.5554500008847835,0.5217391304347826,0.9665178571428572,0.392485119047619,0.6720184209230153,0.6918238993710691,0.5462962962962963,0.5392156862745098,0.9649122807017544,0.0,25486.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08012225_federated_metrics.csv,
