model_name,global_epoch,models_percentage,MIN_NUM_WORKERS,local_epoch,batch_size,learning_rate,best_epoch,best_f1,best_acc,best_prec,best_recall,best_loss,best_f1_test,best_acc_test,best_recall_test,best_precision_test,best_round_test,total_duration,dataframe_path,model_path
ResNet18,5,1.0,8,1,32,1e-08,1,0.4877954969866735,0.5869565217391305,0.6599702380952381,0.3919240481740482,0.6848723962903023,0.5,0.5555555555555556,0.6153846153846154,0.4210526315789473,2,3249,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211654_federated_metrics.csv,
ResNet18,5,1.0,8,1,16,1e-09,0,0.507415591654722,0.5163043478260869,0.8251488095238096,0.368250052213868,0.7641766246246255,0.6521739130434783,0.5555555555555556,0.5555555555555556,0.7894736842105263,0,3223,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211724_federated_metrics.csv,
ResNet18,5,1.0,8,1,32,1e-09,4,0.4685221682504291,0.4456521739130435,0.8102678571428572,0.331969246031746,0.8411111980676651,0.6666666666666666,0.5185185185185185,0.5252525252525253,0.912280701754386,1,3241,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211754_federated_metrics.csv,
ResNet18,5,0.5,10,1,16,0.01,2,0.2648694501955371,0.5315789473684209,0.3479797979797979,0.7580200501253133,2586363868521623.5,0.0,0.4722222222222222,0.0,0.0,0,3139,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211823_federated_metrics.csv,
ResNet18,5,0.5,10,1,32,0.01,4,0.1890688259109311,0.5263157894736842,0.1758838383838384,0.6348268398268397,1668820.471050668,0.0,0.4722222222222222,0.0,0.0,0,3064,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211852_federated_metrics.csv,
ResNet18,5,0.5,10,1,16,0.001,3,0.8866124871001032,0.9105263157894736,0.8421717171717172,0.9672979797979796,14.648673402816115,0.5102040816326531,0.5555555555555556,0.6097560975609756,0.4385964912280701,0,3190,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211921_federated_metrics.csv,
ResNet18,5,0.5,10,1,32,0.001,0,0.9006811145510836,0.9105263157894736,0.8798737373737373,0.9277777777777778,0.2984525456093251,0.7092198581560284,0.6203703703703703,0.5952380952380952,0.8771929824561403,0,3172,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211951_federated_metrics.csv,
ResNet18,5,0.5,10,1,16,0.0001,4,0.9771241830065358,0.9789473684210525,0.9577777777777776,1.0,0.0752305452299448,0.6078431372549019,0.6296296296296297,0.6888888888888889,0.543859649122807,1,3221,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06212021_federated_metrics.csv,
ResNet18,5,0.5,10,1,32,0.0001,4,0.959028944911298,0.963157894736842,0.9236868686868688,1.0,0.1016436964971944,0.3896103896103896,0.5648148148148148,0.75,0.2631578947368421,1,3116,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06212050_federated_metrics.csv,
ResNet18,5,0.5,10,1,16,1e-05,4,0.925032679738562,0.9315789473684208,0.8934848484848485,0.9638888888888888,0.2543325062841177,0.35,0.5185185185185185,0.6086956521739131,0.2456140350877192,0,3171,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06212119_federated_metrics.csv,
ResNet18,5,0.5,10,1,32,1e-05,4,0.8828104575163398,0.8947368421052629,0.8471717171717171,0.9277777777777776,0.3359012007713318,0.6962025316455697,0.5555555555555556,0.5445544554455446,0.9649122807017544,0,3244,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06212149_federated_metrics.csv,
ResNet18,5,0.5,10,1,16,1e-06,2,0.7553725923199608,0.7421052631578948,0.8759848484848485,0.6884348984348984,0.5902835428714753,0.6909090909090909,0.5277777777777778,0.5277777777777778,1.0,0,3169,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06212218_federated_metrics.csv,
ResNet18,5,0.5,10,1,32,1e-06,0,0.4346978021978022,0.5842105263157895,0.3633838383838383,0.6,0.7064776718616486,0.3132530120481928,0.4722222222222222,0.5,0.2280701754385964,0,3145,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06212247_federated_metrics.csv,
ResNet18,5,0.5,10,1,16,1e-07,0,0.5047862585757322,0.4157894736842105,0.6553787878787878,0.4129304519010401,0.8539578343692579,0.65625,0.5925925925925926,0.5915492957746479,0.7368421052631579,0,3167,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06212317_federated_metrics.csv,
ResNet18,5,0.5,10,1,32,1e-07,0,0.6015793861311103,0.4421052631578947,0.9172979797979798,0.4490024079807361,0.8526178061962126,0.6871165644171779,0.5277777777777778,0.5283018867924528,0.9824561403508772,0,2128,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06212340_federated_metrics.csv,
ResNet18,5,0.5,10,1,16,1e-08,3,0.2520232708468002,0.5052631578947369,0.1881060606060606,0.4138095238095238,0.8019554048776626,0.2307692307692307,0.4444444444444444,0.4285714285714285,0.1578947368421052,0,3163,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2206\06220010_federated_metrics.csv,
ResNet18,5,0.5,10,1,32,1e-08,3,0.5271997395449408,0.5526315789473685,0.5380050505050504,0.528937728937729,0.7054441273212433,0.6428571428571429,0.5370370370370371,0.5421686746987951,0.7894736842105263,0,2100,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2206\06220033_federated_metrics.csv,
ResNet18,5,0.5,10,1,16,1e-09,4,0.1443001443001443,0.531578947368421,0.0997727272727272,0.625,0.760015649858274,0.064516129032258,0.4629629629629629,0.4,0.0350877192982456,0,3116,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2206\06220102_federated_metrics.csv,
ResNet18,5,0.5,10,1,32,1e-09,2,0.6282218737973213,0.5578947368421052,0.7957828282828283,0.5247635207929325,0.7062785327434539,0.6962025316455697,0.5555555555555556,0.5445544554455446,0.9649122807017544,0,3219,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2206\06220132_federated_metrics.csv,
ResNet18,5,1.0,10,1,16,0.01,0,0.1619967793880837,0.4842105263157894,0.2555555555555555,0.8199248120300751,3.9366826241229753,0.0,0.4722222222222222,0.0,0.0,0,4158,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2206\06220211_federated_metrics.csv,
ResNet18,5,1.0,10,1,32,0.01,3,0.5614507714507714,0.4684210526315788,0.8749999999999999,0.515204678362573,0.7094173967838288,0.6909090909090909,0.5277777777777778,0.5277777777777778,1.0,3,4172,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2206\06220250_federated_metrics.csv,
ResNet18,5,1.0,10,1,16,0.001,2,0.9317606516290724,0.9368421052631576,0.9311868686868684,0.9475757575757574,0.2346227326324209,0.6140350877192983,0.5925925925925926,0.6140350877192983,0.6140350877192983,4,4106,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2206\06220329_federated_metrics.csv,
